n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
176,2.8030152320861816,-0.650964,-0.0662408,0.0069171,-2.24178,-0.857823,1.079,0,0,0,0,0,0,12442,0
177,2.8196756839752197,-0.650982,-0.0662251,0.00693565,-2.24178,-0.857689,1.0794,0,0,0,0,0,0,12440,0
178,2.8356668949127197,-0.650969,-0.0662109,0.00692506,-2.24179,-0.857746,1.079,0,0,0,0,0,0,12443,0
179,2.8516383171081543,-0.650959,-0.0662305,0.00691367,-2.24172,-0.857853,1.0793,0,0,0,0,0,0,12429,0
180,2.867628812789917,-0.650983,-0.0662351,0.00692332,-2.24174,-0.857823,1.079,0,0,0,0,0,0,12443,0
181,2.8836052417755127,-0.650957,-0.0662293,0.00692164,-2.24178,-0.857808,1.079,0,0,0,0,0,0,12446,0
182,2.899583578109741,-0.650963,-0.0662223,0.00691068,-2.2418,-0.857812,1.0793,0,0,0,0,0,0,12445,0
183,2.9155828952789307,-0.650959,-0.0662337,0.00689595,-2.2418,-0.85781,1.0793,0,0,0,0,0,0,12442,0
184,2.9315834045410156,-0.650987,-0.0662466,0.00694898,-2.24174,-0.857788,1.0794,0,0,0,0,0,0,12442,0
185,2.947380542755127,-0.650981,-0.0662207,0.00691956,-2.24177,-0.85783,1.0794,0,0,0,0,0,0,12439,0
186,2.9626941680908203,-0.650981,-0.0662207,0.00691956,-2.24177,-0.85783,1.0794,0,0,0,0,0,0,12440,0
187,2.9791011810302734,-0.650967,-0.0662883,0.00691626,-2.24188,-0.857936,1.0795,0,0,0,0,0,0,12441,0
188,2.995093822479248,-0.650967,-0.0662883,0.00691626,-2.24188,-0.857936,1.0795,0,0,0,0,0,0,12447,0
189,3.0110504627227783,-0.650983,-0.0662954,0.00694071,-2.24184,-0.857965,1.0795,0,0,0,0,0,0,12446,0
190,3.027007579803467,-0.650963,-0.0662888,0.00690034,-2.24189,-0.857965,1.079,0,0,0,0,0,0,12446,0
191,3.043329954147339,-0.650945,-0.0662839,0.00686402,-2.2419,-0.858018,1.0794,0,0,0,0,0,0,12440,0
192,3.0590670108795166,-0.650961,-0.0663001,0.00690333,-2.24187,-0.858056,1.0794,0,0,0,0,0,0,12444,0
193,3.074939727783203,-0.650955,-0.0662492,0.00690785,-2.24189,-0.857916,1.0794,0,0,0,0,0,0,12443,0
194,3.0906519889831543,-0.650956,-0.0662913,0.00689871,-2.24186,-0.858008,1.0794,0,0,0,0,0,0,12442,0
195,3.107287645339966,-0.650973,-0.0662711,0.00691114,-2.24192,-0.857885,1.079,0,0,0,0,0,0,12444,0
196,3.1226108074188232,-0.65096,-0.066269,0.00692842,-2.24188,-0.857929,1.0795,0,0,0,0,0,0,12447,0
197,3.138925790786743,-0.650952,-0.0663146,0.00690198,-2.24185,-0.858054,1.0795,0,0,0,0,0,0,12446,0
198,3.1547470092773438,-0.650957,-0.0662974,0.00689915,-2.24189,-0.858015,1.0794,0,0,0,0,0,0,12445,0
199,3.1713204383850098,-0.650982,-0.0662916,0.00693757,-2.24189,-0.85795,1.0796,0,0,0,0,0,0,12444,0
200,3.18656587600708,-0.650942,-0.0663094,0.00687815,-2.24189,-0.858137,1.0794,0,0,0,0,0,0,12444,0
201,3.2026188373565674,-0.650956,-0.0662641,0.00690199,-2.24187,-0.857976,1.0794,0,0,0,0,0,0,12442,0
202,3.219287395477295,-0.650954,-0.0662866,0.00691648,-2.24184,-0.858032,1.0794,0,0,0,0,0,0,12439,0
203,3.2352070808410645,-0.650946,-0.0662556,0.00689828,-2.24192,-0.857939,1.0794,0,0,0,0,0,0,12438,0
204,3.2511870861053467,-0.650941,-0.0663136,0.00688529,-2.2419,-0.85811,1.0794,0,0,0,0,0,0,12447,0
205,3.2673723697662354,-0.650965,-0.0662587,0.0069049,-2.24185,-0.85798,1.0794,0,0,0,0,0,0,12442,0
206,3.283203601837158,-0.650975,-0.0662862,0.0069302,-2.2419,-0.857906,1.0795,0,0,0,0,0,0,12444,0
207,3.299147844314575,-0.650971,-0.0662762,0.00694354,-2.24183,-0.857912,1.0795,0,0,0,0,0,0,12443,0
208,3.3151042461395264,-0.650954,-0.0662815,0.0068757,-2.24191,-0.858058,1.0793,0,0,0,0,0,0,12437,0
