n,t,x,y,z,rx,ry,rz,fx,fy,fz,tx,ty,tz,skin,pinching
185,2.95409893989563,-0.665767,-0.0652488,0.00639819,-2.24188,-0.85746,1.0767,0,0,0,0,0,0,12599,0
186,2.9700558185577393,-0.6658,-0.0651991,0.00640422,-2.24185,-0.857308,1.0767,0,0,0,0,0,0,12597,0
187,2.986013889312744,-0.665778,-0.0652461,0.00639238,-2.24185,-0.85748,1.076,0,0,0,0,0,0,12595,0
188,3.0019710063934326,-0.665786,-0.0652293,0.00637667,-2.24189,-0.857401,1.0767,0,0,0,0,0,0,12588,0
189,3.0179286003112793,-0.665757,-0.0652348,0.00635654,-2.24188,-0.857495,1.0767,0,0,0,0,0,0,12600,0
190,3.0338854789733887,-0.665782,-0.0652552,0.00639839,-2.24181,-0.85752,1.076,0,0,0,0,0,0,12594,0
191,3.0498430728912354,-0.665761,-0.0652213,0.00636258,-2.24191,-0.857447,1.076,0,0,0,0,0,0,12602,0
192,3.066797971725464,-0.665779,-0.06525,0.00639641,-2.24185,-0.857391,1.0768,0,0,0,0,0,0,12600,0
193,3.0827548503875732,-0.665775,-0.0652388,0.00637297,-2.24187,-0.857473,1.0767,0,0,0,0,0,0,12599,0
194,3.0987136363983154,-0.665802,-0.0652348,0.00640523,-2.24187,-0.857388,1.0768,0,0,0,0,0,0,12595,0
195,3.1146697998046875,-0.665789,-0.0652393,0.00640561,-2.24188,-0.857418,1.0768,0,0,0,0,0,0,12599,0
196,3.1306264400482178,-0.665767,-0.0652671,0.00639125,-2.2419,-0.857477,1.0767,0,0,0,0,0,0,12598,0
197,3.1465837955474854,-0.665804,-0.0652649,0.00642103,-2.24183,-0.857424,1.0768,0,0,0,0,0,0,12601,0
198,3.162540912628174,-0.665799,-0.06521,0.00641227,-2.24181,-0.857392,1.0768,0,0,0,0,0,0,12601,0
199,3.1784982681274414,-0.665799,-0.06521,0.00641227,-2.24181,-0.857392,1.0768,0,0,0,0,0,0,12598,0
200,3.1944563388824463,-0.665801,-0.06525,0.00641581,-2.24181,-0.857449,1.0768,0,0,0,0,0,0,12594,0
201,3.210413932800293,-0.665802,-0.0652659,0.00638441,-2.24184,-0.857489,1.076,0,0,0,0,0,0,12596,0
202,3.226370334625244,-0.665802,-0.0652285,0.00639817,-2.24189,-0.857389,1.0768,0,0,0,0,0,0,12600,0
203,3.242327928543091,-0.665778,-0.065245,0.00640871,-2.24187,-0.857434,1.0768,0,0,0,0,0,0,12597,0
204,3.2582848072052,-0.665773,-0.0652165,0.0063533,-2.24192,-0.857405,1.0766,0,0,0,0,0,0,12597,0
205,3.2742457389831543,-0.665783,-0.0652015,0.00638902,-2.24188,-0.857382,1.0767,0,0,0,0,0,0,12596,0
206,3.2902004718780518,-0.665791,-0.0652482,0.00641719,-2.24181,-0.857478,1.0768,0,0,0,0,0,0,12601,0
207,3.306156635284424,-0.665812,-0.0652565,0.00641856,-2.24186,-0.857386,1.0768,0,0,0,0,0,0,12599,0
208,3.3221144676208496,-0.665787,-0.0652309,0.00638212,-2.24191,-0.857376,1.0767,0,0,0,0,0,0,12598,0
209,3.338071584701538,-0.665789,-0.0652032,0.00640638,-2.24185,-0.857329,1.0767,0,0,0,0,0,0,12598,0
210,3.354029893875122,-0.665782,-0.0652126,0.00636567,-2.24186,-0.857398,1.076,0,0,0,0,0,0,12597,0
211,3.3699867725372314,-0.665785,-0.0652211,0.0063976,-2.24188,-0.857383,1.0768,0,0,0,0,0,0,12590,0
212,3.385943651199341,-0.665783,-0.0652028,0.00639761,-2.24186,-0.857383,1.0767,0,0,0,0,0,0,12600,0
213,3.4019014835357666,-0.665772,-0.0651964,0.0063783,-2.24188,-0.857407,1.076,0,0,0,0,0,0,12595,0
214,3.417858600616455,-0.665783,-0.0652365,0.00637985,-2.24186,-0.857441,1.0767,0,0,0,0,0,0,12602,0
215,3.43381667137146,-0.665819,-0.0652345,0.00643699,-2.24183,-0.857316,1.0768,0,0,0,0,0,0,12601,0
